law	elm	asof	law_revision_id	sha256_16
211AC0000000070	MainProvision-Article_3	2020-10-01	211AC0000000070_20201001_501AC0000000009	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2020-10-01	211AC0000000070_20201001_501AC0000000009	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2020-10-01	211AC0000000070_20201001_501AC0000000009	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2021-01-01	211AC0000000070_20210101_502AC0000000008	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2021-01-01	211AC0000000070_20210101_502AC0000000008	089101b97d693510
211AC0000000070	MainProvision-Article_3	2021-01-01	211AC0000000070_20210101_502AC0000000008	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2021-01-01	211AC0000000070_20210101_502AC0000000008	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2021-01-01	211AC0000000070_20210101_502AC0000000008	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2021-04-01	211AC0000000070_20210401_501AC0000000009	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2021-04-01	211AC0000000070_20210401_501AC0000000009	089101b97d693510
211AC0000000070	MainProvision-Article_3	2021-04-01	211AC0000000070_20210401_501AC0000000009	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2021-04-01	211AC0000000070_20210401_501AC0000000009	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2021-04-01	211AC0000000070_20210401_501AC0000000009	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2021-05-19	211AC0000000070_20210519_503AC0000000037	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2021-05-19	211AC0000000070_20210519_503AC0000000037	089101b97d693510
211AC0000000070	MainProvision-Article_3	2021-05-19	211AC0000000070_20210519_503AC0000000037	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2021-05-19	211AC0000000070_20210519_503AC0000000037	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2021-05-19	211AC0000000070_20210519_503AC0000000037	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2021-06-11	211AC0000000070_20210611_503AC0000000066	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2021-06-11	211AC0000000070_20210611_503AC0000000066	089101b97d693510
211AC0000000070	MainProvision-Article_3	2021-06-11	211AC0000000070_20210611_503AC0000000066	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2021-06-11	211AC0000000070_20210611_503AC0000000066	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2021-06-11	211AC0000000070_20210611_503AC0000000066	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2022-01-01	211AC0000000070_20220101_503AC0000000066	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2022-01-01	211AC0000000070_20220101_503AC0000000066	089101b97d693510
211AC0000000070	MainProvision-Article_3	2022-01-01	211AC0000000070_20220101_503AC0000000066	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2022-01-01	211AC0000000070_20220101_503AC0000000066	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2022-01-01	211AC0000000070_20220101_503AC0000000066	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2022-04-01	211AC0000000070_20220401_502AC0000000040	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2022-04-01	211AC0000000070_20220401_502AC0000000040	089101b97d693510
211AC0000000070	MainProvision-Article_3	2022-04-01	211AC0000000070_20220401_502AC0000000040	4a51d9c5b3594eb2
211AC0000000070	MainProvision-Article_40	2022-04-01	211AC0000000070_20220401_502AC0000000040	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2022-04-01	211AC0000000070_20220401_502AC0000000040	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2022-06-17	211AC0000000070_20220617_504AC0000000068	d6ed4ba955b040b4
211AC0000000070	MainProvision-Article_161	2022-06-17	211AC0000000070_20220617_504AC0000000068	7e5eb31627852835
211AC0000000070	MainProvision-Article_3	2022-06-17	211AC0000000070_20220617_504AC0000000068	b96a1fd3a9523b3b
211AC0000000070	MainProvision-Article_40	2022-06-17	211AC0000000070_20220617_504AC0000000068	a96cff4dea31892e
211AC0000000070	MainProvision-Article_45	2022-06-17	211AC0000000070_20220617_504AC0000000068	8ef35ad0b9bd634d
211AC0000000070	MainProvision-Article_160	2022-10-01	211AC0000000070_20221001_503AC0000000066	d6ed4ba955b040b4
211AC0000000070	MainProvision-Article_161	2022-10-01	211AC0000000070_20221001_503AC0000000066	7e5eb31627852835
211AC0000000070	MainProvision-Article_3	2022-10-01	211AC0000000070_20221001_503AC0000000066	6608d2a0e90809ca
211AC0000000070	MainProvision-Article_40	2022-10-01	211AC0000000070_20221001_503AC0000000066	a96cff4dea31892e
211AC0000000070	MainProvision-Article_45	2022-10-01	211AC0000000070_20221001_503AC0000000066	8ef35ad0b9bd634d
211AC0000000070	MainProvision-Article_160	2022-12-09	211AC0000000070_20221209_504AC0000000096	d6ed4ba955b040b4
211AC0000000070	MainProvision-Article_161	2022-12-09	211AC0000000070_20221209_504AC0000000096	7e5eb31627852835
211AC0000000070	MainProvision-Article_3	2022-12-09	211AC0000000070_20221209_504AC0000000096	6608d2a0e90809ca
211AC0000000070	MainProvision-Article_40	2022-12-09	211AC0000000070_20221209_504AC0000000096	a96cff4dea31892e
211AC0000000070	MainProvision-Article_45	2022-12-09	211AC0000000070_20221209_504AC0000000096	8ef35ad0b9bd634d
211AC0000000070	MainProvision-Article_160	2023-04-01	211AC0000000070_20230401_505AC0000000003	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2023-04-01	211AC0000000070_20230401_505AC0000000003	089101b97d693510
211AC0000000070	MainProvision-Article_3	2023-04-01	211AC0000000070_20230401_505AC0000000003	8851e6c2fb82c89b
211AC0000000070	MainProvision-Article_40	2023-04-01	211AC0000000070_20230401_505AC0000000003	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2023-04-01	211AC0000000070_20230401_505AC0000000003	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2023-05-11	211AC0000000070_20230511_503AC0000000037	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2023-05-11	211AC0000000070_20230511_503AC0000000037	089101b97d693510
211AC0000000070	MainProvision-Article_3	2023-05-11	211AC0000000070_20230511_503AC0000000037	80c62eb2519c05c2
211AC0000000070	MainProvision-Article_40	2023-05-11	211AC0000000070_20230511_503AC0000000037	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2023-05-11	211AC0000000070_20230511_503AC0000000037	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2023-05-19	211AC0000000070_20230519_505AC0000000031	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2023-05-19	211AC0000000070_20230519_505AC0000000031	089101b97d693510
211AC0000000070	MainProvision-Article_3	2023-05-19	211AC0000000070_20230519_505AC0000000031	8851e6c2fb82c89b
211AC0000000070	MainProvision-Article_40	2023-05-19	211AC0000000070_20230519_505AC0000000031	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2023-05-19	211AC0000000070_20230519_505AC0000000031	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2023-06-09	211AC0000000070_20230609_505AC0000000048	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2023-06-09	211AC0000000070_20230609_505AC0000000048	089101b97d693510
211AC0000000070	MainProvision-Article_3	2023-06-09	211AC0000000070_20230609_505AC0000000048	80c62eb2519c05c2
211AC0000000070	MainProvision-Article_40	2023-06-09	211AC0000000070_20230609_505AC0000000048	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2023-06-09	211AC0000000070_20230609_505AC0000000048	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2024-01-01	211AC0000000070_20240101_505AC0000000003	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2024-01-01	211AC0000000070_20240101_505AC0000000003	089101b97d693510
211AC0000000070	MainProvision-Article_3	2024-01-01	211AC0000000070_20240101_505AC0000000003	80c62eb2519c05c2
211AC0000000070	MainProvision-Article_40	2024-01-01	211AC0000000070_20240101_505AC0000000003	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2024-01-01	211AC0000000070_20240101_505AC0000000003	7fea22924f2538c2
